reporter_slug,method_id,fold,n_keys,max_truth_delta,reordered,run_state
lipid_droplet_plin2,gbdt,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,catboost_multirmse,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,mlp,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,tabm_specialists,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,scbutterfly_ops_b,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,resmlp_52head,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,multitab_pilot,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,midas_ops,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,scpair_ops,2,366,0.0,False,checkpoint_average
lipid_droplet_plin2,ridge,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,gbdt,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,catboost_multirmse,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,mlp,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,tabm_specialists,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,scbutterfly_ops_b,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,resmlp_52head,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,multitab_pilot,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,midas_ops,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,scpair_ops,3,394,0.0,False,checkpoint_average
lipid_droplet_plin2,ridge,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,gbdt,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,catboost_multirmse,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,mlp,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,tabm_specialists,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,scbutterfly_ops_b,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,resmlp_52head,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,multitab_pilot,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,midas_ops,4,444,0.0,False,checkpoint_average
lipid_droplet_plin2,scpair_ops,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,ridge,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,gbdt,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,catboost_multirmse,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,mlp,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,tabm_specialists,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scbutterfly_ops_b,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,resmlp_52head,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,multitab_pilot,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,midas_ops,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scpair_ops,0,422,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,ridge,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,gbdt,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,catboost_multirmse,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,mlp,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,tabm_specialists,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scbutterfly_ops_b,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,resmlp_52head,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,multitab_pilot,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,midas_ops,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scpair_ops,1,374,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,ridge,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,gbdt,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,catboost_multirmse,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,mlp,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,tabm_specialists,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scbutterfly_ops_b,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,resmlp_52head,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,multitab_pilot,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,midas_ops,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scpair_ops,2,366,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,ridge,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,gbdt,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,catboost_multirmse,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,mlp,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,tabm_specialists,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scbutterfly_ops_b,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,resmlp_52head,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,multitab_pilot,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,midas_ops,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scpair_ops,3,394,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,ridge,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,gbdt,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,catboost_multirmse,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,mlp,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,tabm_specialists,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scbutterfly_ops_b,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,resmlp_52head,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,multitab_pilot,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,midas_ops,4,444,0.0,False,checkpoint_average
cell_proliferation_marker_mki67,scpair_ops,4,444,0.0,False,checkpoint_average
stress_granule_g3bp1,ridge,0,211,0.0,False,single
stress_granule_g3bp1,gbdt,0,211,0.0,False,single
stress_granule_g3bp1,catboost_multirmse,0,211,0.0,False,single
stress_granule_g3bp1,mlp,0,211,0.0,False,single
stress_granule_g3bp1,tabm_specialists,0,211,0.0,False,single
stress_granule_g3bp1,scbutterfly_ops_b,0,211,0.0,False,single
stress_granule_g3bp1,resmlp_52head,0,211,0.0,False,single
stress_granule_g3bp1,multitab_pilot,0,211,0.0,False,single
stress_granule_g3bp1,midas_ops,0,211,0.0,False,single
stress_granule_g3bp1,scpair_ops,0,211,0.0,False,single
stress_granule_g3bp1,ridge,1,187,0.0,False,single
stress_granule_g3bp1,gbdt,1,187,0.0,False,single
stress_granule_g3bp1,catboost_multirmse,1,187,0.0,False,single
stress_granule_g3bp1,mlp,1,187,0.0,False,single
stress_granule_g3bp1,tabm_specialists,1,187,0.0,False,single
stress_granule_g3bp1,scbutterfly_ops_b,1,187,0.0,False,single
stress_granule_g3bp1,resmlp_52head,1,187,0.0,False,single
stress_granule_g3bp1,multitab_pilot,1,187,0.0,False,single
stress_granule_g3bp1,midas_ops,1,187,0.0,False,single
stress_granule_g3bp1,scpair_ops,1,187,0.0,False,single
stress_granule_g3bp1,ridge,2,183,0.0,False,single
stress_granule_g3bp1,gbdt,2,183,0.0,False,single
stress_granule_g3bp1,catboost_multirmse,2,183,0.0,False,single
stress_granule_g3bp1,mlp,2,183,0.0,False,single
stress_granule_g3bp1,tabm_specialists,2,183,0.0,False,single
stress_granule_g3bp1,scbutterfly_ops_b,2,183,0.0,False,single
stress_granule_g3bp1,resmlp_52head,2,183,0.0,False,single
stress_granule_g3bp1,multitab_pilot,2,183,0.0,False,single
stress_granule_g3bp1,midas_ops,2,183,0.0,False,single
stress_granule_g3bp1,scpair_ops,2,183,0.0,False,single
stress_granule_g3bp1,ridge,3,197,0.0,False,single
stress_granule_g3bp1,gbdt,3,197,0.0,False,single
stress_granule_g3bp1,catboost_multirmse,3,197,0.0,False,single
stress_granule_g3bp1,mlp,3,197,0.0,False,single
stress_granule_g3bp1,tabm_specialists,3,197,0.0,False,single
stress_granule_g3bp1,scbutterfly_ops_b,3,197,0.0,False,single
stress_granule_g3bp1,resmlp_52head,3,197,0.0,False,single
stress_granule_g3bp1,multitab_pilot,3,197,0.0,False,single
stress_granule_g3bp1,midas_ops,3,197,0.0,False,single
stress_granule_g3bp1,scpair_ops,3,197,0.0,False,single
stress_granule_g3bp1,ridge,4,222,0.0,False,single
stress_granule_g3bp1,gbdt,4,222,0.0,False,single
stress_granule_g3bp1,catboost_multirmse,4,222,0.0,False,single
stress_granule_g3bp1,mlp,4,222,0.0,False,single
stress_granule_g3bp1,tabm_specialists,4,222,0.0,False,single
stress_granule_g3bp1,scbutterfly_ops_b,4,222,0.0,False,single
stress_granule_g3bp1,resmlp_52head,4,222,0.0,False,single
stress_granule_g3bp1,multitab_pilot,4,222,0.0,False,single
stress_granule_g3bp1,midas_ops,4,222,0.0,False,single
stress_granule_g3bp1,scpair_ops,4,222,0.0,False,single
lysosome_lysotracker_live-cell_dye,ridge,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,gbdt,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,catboost_multirmse,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,mlp,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,tabm_specialists,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,resmlp_52head,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,multitab_pilot,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,midas_ops,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,scpair_ops,0,633,0.0,False,single
lysosome_lysotracker_live-cell_dye,ridge,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,gbdt,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,catboost_multirmse,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,mlp,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,tabm_specialists,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,resmlp_52head,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,multitab_pilot,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,midas_ops,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,scpair_ops,1,561,0.0,False,single
lysosome_lysotracker_live-cell_dye,ridge,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,gbdt,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,catboost_multirmse,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,mlp,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,tabm_specialists,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,resmlp_52head,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,multitab_pilot,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,midas_ops,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,scpair_ops,2,549,0.0,False,single
lysosome_lysotracker_live-cell_dye,ridge,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,gbdt,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,catboost_multirmse,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,mlp,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,tabm_specialists,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,resmlp_52head,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,multitab_pilot,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,midas_ops,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,scpair_ops,3,591,0.0,False,single
lysosome_lysotracker_live-cell_dye,ridge,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,gbdt,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,catboost_multirmse,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,mlp,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,tabm_specialists,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,resmlp_52head,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,multitab_pilot,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,midas_ops,4,666,0.0,False,single
lysosome_lysotracker_live-cell_dye,scpair_ops,4,666,0.0,False,single
er_golgi_cop-ii_sec23a,ridge,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,gbdt,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,catboost_multirmse,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,mlp,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,tabm_specialists,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,scbutterfly_ops_b,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,resmlp_52head,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,multitab_pilot,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,midas_ops,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,scpair_ops,0,211,0.0,False,single
er_golgi_cop-ii_sec23a,ridge,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,gbdt,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,catboost_multirmse,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,mlp,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,tabm_specialists,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,scbutterfly_ops_b,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,resmlp_52head,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,multitab_pilot,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,midas_ops,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,scpair_ops,1,187,0.0,False,single
er_golgi_cop-ii_sec23a,ridge,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,gbdt,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,catboost_multirmse,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,mlp,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,tabm_specialists,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,scbutterfly_ops_b,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,resmlp_52head,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,multitab_pilot,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,midas_ops,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,scpair_ops,2,183,0.0,False,single
er_golgi_cop-ii_sec23a,ridge,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,gbdt,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,catboost_multirmse,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,mlp,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,tabm_specialists,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,scbutterfly_ops_b,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,resmlp_52head,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,multitab_pilot,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,midas_ops,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,scpair_ops,3,197,0.0,False,single
er_golgi_cop-ii_sec23a,ridge,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,gbdt,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,catboost_multirmse,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,mlp,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,tabm_specialists,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,scbutterfly_ops_b,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,resmlp_52head,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,multitab_pilot,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,midas_ops,4,222,0.0,False,single
er_golgi_cop-ii_sec23a,scpair_ops,4,222,0.0,False,single
early_endosome_eea1,ridge,0,211,0.0,False,single
early_endosome_eea1,gbdt,0,211,0.0,False,single
early_endosome_eea1,catboost_multirmse,0,211,0.0,False,single
early_endosome_eea1,mlp,0,211,0.0,False,single
early_endosome_eea1,tabm_specialists,0,211,0.0,False,single
early_endosome_eea1,scbutterfly_ops_b,0,211,0.0,False,single
early_endosome_eea1,resmlp_52head,0,211,0.0,False,single
early_endosome_eea1,multitab_pilot,0,211,0.0,False,single
early_endosome_eea1,midas_ops,0,211,0.0,False,single
early_endosome_eea1,scpair_ops,0,211,0.0,False,single
early_endosome_eea1,ridge,1,187,0.0,False,single
early_endosome_eea1,gbdt,1,187,0.0,False,single
early_endosome_eea1,catboost_multirmse,1,187,0.0,False,single
early_endosome_eea1,mlp,1,187,0.0,False,single
early_endosome_eea1,tabm_specialists,1,187,0.0,False,single
early_endosome_eea1,scbutterfly_ops_b,1,187,0.0,False,single
early_endosome_eea1,resmlp_52head,1,187,0.0,False,single
early_endosome_eea1,multitab_pilot,1,187,0.0,False,single
early_endosome_eea1,midas_ops,1,187,0.0,False,single
early_endosome_eea1,scpair_ops,1,187,0.0,False,single
early_endosome_eea1,ridge,2,183,0.0,False,single
early_endosome_eea1,gbdt,2,183,0.0,False,single
early_endosome_eea1,catboost_multirmse,2,183,0.0,False,single
early_endosome_eea1,mlp,2,183,0.0,False,single
early_endosome_eea1,tabm_specialists,2,183,0.0,False,single
early_endosome_eea1,scbutterfly_ops_b,2,183,0.0,False,single
early_endosome_eea1,resmlp_52head,2,183,0.0,False,single
early_endosome_eea1,multitab_pilot,2,183,0.0,False,single
early_endosome_eea1,midas_ops,2,183,0.0,False,single
early_endosome_eea1,scpair_ops,2,183,0.0,False,single
early_endosome_eea1,ridge,3,197,0.0,False,single
early_endosome_eea1,gbdt,3,197,0.0,False,single
early_endosome_eea1,catboost_multirmse,3,197,0.0,False,single
early_endosome_eea1,mlp,3,197,0.0,False,single
early_endosome_eea1,tabm_specialists,3,197,0.0,False,single
early_endosome_eea1,scbutterfly_ops_b,3,197,0.0,False,single
early_endosome_eea1,resmlp_52head,3,197,0.0,False,single
early_endosome_eea1,multitab_pilot,3,197,0.0,False,single
early_endosome_eea1,midas_ops,3,197,0.0,False,single
early_endosome_eea1,scpair_ops,3,197,0.0,False,single
early_endosome_eea1,ridge,4,222,0.0,False,single
early_endosome_eea1,gbdt,4,222,0.0,False,single
early_endosome_eea1,catboost_multirmse,4,222,0.0,False,single
early_endosome_eea1,mlp,4,222,0.0,False,single
early_endosome_eea1,tabm_specialists,4,222,0.0,False,single
early_endosome_eea1,scbutterfly_ops_b,4,222,0.0,False,single
early_endosome_eea1,resmlp_52head,4,222,0.0,False,single
early_endosome_eea1,multitab_pilot,4,222,0.0,False,single
early_endosome_eea1,midas_ops,4,222,0.0,False,single
early_endosome_eea1,scpair_ops,4,222,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,ridge,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,gbdt,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,mlp,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,midas_ops,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scpair_ops,0,422,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,ridge,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,gbdt,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,mlp,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,midas_ops,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scpair_ops,1,374,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,ridge,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,gbdt,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,mlp,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,midas_ops,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scpair_ops,2,366,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,ridge,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,gbdt,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,mlp,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,midas_ops,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scpair_ops,3,394,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,ridge,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,gbdt,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,mlp,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,midas_ops,4,444,0.0,False,single
lipid_droplet_bodipy_live_cell_dye,scpair_ops,4,444,0.0,False,single
late_endosome_rab7a,ridge,0,422,0.0,False,single
late_endosome_rab7a,gbdt,0,422,0.0,False,single
late_endosome_rab7a,catboost_multirmse,0,422,0.0,False,single
late_endosome_rab7a,mlp,0,422,0.0,False,single
late_endosome_rab7a,tabm_specialists,0,422,0.0,False,single
late_endosome_rab7a,scbutterfly_ops_b,0,422,0.0,False,single
late_endosome_rab7a,resmlp_52head,0,422,0.0,False,single
late_endosome_rab7a,multitab_pilot,0,422,0.0,False,single
late_endosome_rab7a,midas_ops,0,422,0.0,False,single
late_endosome_rab7a,scpair_ops,0,422,0.0,False,single
late_endosome_rab7a,ridge,1,374,0.0,False,single
late_endosome_rab7a,gbdt,1,374,0.0,False,single
late_endosome_rab7a,catboost_multirmse,1,374,0.0,False,single
late_endosome_rab7a,mlp,1,374,0.0,False,single
late_endosome_rab7a,tabm_specialists,1,374,0.0,False,single
late_endosome_rab7a,scbutterfly_ops_b,1,374,0.0,False,single
late_endosome_rab7a,resmlp_52head,1,374,0.0,False,single
late_endosome_rab7a,multitab_pilot,1,374,0.0,False,single
late_endosome_rab7a,midas_ops,1,374,0.0,False,single
late_endosome_rab7a,scpair_ops,1,374,0.0,False,single
late_endosome_rab7a,ridge,2,366,0.0,False,single
late_endosome_rab7a,gbdt,2,366,0.0,False,single
late_endosome_rab7a,catboost_multirmse,2,366,0.0,False,single
late_endosome_rab7a,mlp,2,366,0.0,False,single
late_endosome_rab7a,tabm_specialists,2,366,0.0,False,single
late_endosome_rab7a,scbutterfly_ops_b,2,366,0.0,False,single
late_endosome_rab7a,resmlp_52head,2,366,0.0,False,single
late_endosome_rab7a,multitab_pilot,2,366,0.0,False,single
late_endosome_rab7a,midas_ops,2,366,0.0,False,single
late_endosome_rab7a,scpair_ops,2,366,0.0,False,single
late_endosome_rab7a,ridge,3,394,0.0,False,single
late_endosome_rab7a,gbdt,3,394,0.0,False,single
late_endosome_rab7a,catboost_multirmse,3,394,0.0,False,single
late_endosome_rab7a,mlp,3,394,0.0,False,single
late_endosome_rab7a,tabm_specialists,3,394,0.0,False,single
late_endosome_rab7a,scbutterfly_ops_b,3,394,0.0,False,single
late_endosome_rab7a,resmlp_52head,3,394,0.0,False,single
late_endosome_rab7a,multitab_pilot,3,394,0.0,False,single
late_endosome_rab7a,midas_ops,3,394,0.0,False,single
late_endosome_rab7a,scpair_ops,3,394,0.0,False,single
late_endosome_rab7a,ridge,4,444,0.0,False,single
late_endosome_rab7a,gbdt,4,444,0.0,False,single
late_endosome_rab7a,catboost_multirmse,4,444,0.0,False,single
late_endosome_rab7a,mlp,4,444,0.0,False,single
late_endosome_rab7a,tabm_specialists,4,444,0.0,False,single
late_endosome_rab7a,scbutterfly_ops_b,4,444,0.0,False,single
late_endosome_rab7a,resmlp_52head,4,444,0.0,False,single
late_endosome_rab7a,multitab_pilot,4,444,0.0,False,single
late_endosome_rab7a,midas_ops,4,444,0.0,False,single
late_endosome_rab7a,scpair_ops,4,444,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,ridge,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,gbdt,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,catboost_multirmse,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,mlp,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,tabm_specialists,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,scbutterfly_ops_b,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,resmlp_52head,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,multitab_pilot,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,midas_ops,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,scpair_ops,0,1055,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,ridge,1,935,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,gbdt,1,935,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,catboost_multirmse,1,935,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,mlp,1,935,0.0,False,single
actin_filament_fastact_spy555_live_cell_dye,tabm_specialists,1,935,0.0,False,single
